date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,NDMI,NDWI,SAVI,EVI,NDRE,mean_clean_fraction
2017-11-30,,,,,,,,,,,,,,,,,,,
2017-12-31,0.018850000000000002,0.0355,0.04708333333333334,0.06781666666666666,0.08913333333333333,0.11551666666666667,0.13318333333333335,0.1529,0.16211666666666666,0.1626,0.22335000000000002,0.15061666666666665,0.38668383101693565,-0.18679573147095266,-0.531755439165285,0.1771216105455478,0.16444707174292186,0.26534154919038905,0.9403333333333332
2018-01-31,0.003,0.015525,0.029475,0.049725,0.06973750000000001,0.0931375,0.108375,0.12769999999999998,0.134875,0.137175,0.2202,0.15407500000000002,0.4395030193896684,-0.2658749862191196,-0.6250738905789333,0.1726455239570511,0.14890126969707357,0.2934569286755774,1.0
2018-02-28,0.01235,0.022866666666666664,0.03696666666666667,0.05906666666666666,0.08059999999999999,0.10398333333333333,0.11986666666666666,0.13866666666666666,0.14745,0.14964999999999998,0.23211666666666667,0.15974999999999998,0.40269660233412913,-0.2518827642326839,-0.5793209101328851,0.1711346873088022,0.1505796933226014,0.26486830604529393,1.0
2018-03-31,0.017983333333333334,0.024999999999999998,0.03766666666666667,0.055358333333333336,0.073675,0.09390833333333333,0.10819166666666667,0.12576666666666667,0.13151666666666667,0.13554166666666667,0.23689166666666664,0.201825,0.3903954138396954,-0.3062277159541102,-0.5416280157656645,0.1550792936676144,0.13857835755794343,0.2624127619222119,1.0
2018-04-30,0.037764285714285716,0.04365,0.06449285714285714,0.061192857142857146,0.10281428571428572,0.18152142857142858,0.20157142857142857,0.21674285714285713,0.22145714285714285,0.22655,0.22442142857142858,0.16815714285714287,0.5527117235577945,-0.021637982836175764,-0.53628114040836,0.2980702302197455,0.3085984256568303,0.35110231057973135,1.0
2018-05-31,0.029766666666666667,0.032883333333333334,0.0516,0.038775,0.0813,0.22677499999999998,0.27415833333333334,0.28076666666666666,0.29375833333333334,0.2935083333333333,0.19175833333333334,0.11285,0.7576283964670848,0.18919632455599067,-0.6896274977121933,0.44292823974869644,0.47758959589538424,0.5509062936163612,1.0
2018-06-30,0.03395625,0.0357125,0.054125,0.044375,0.08661875,0.224575,0.27321249999999997,0.27395,0.2975625,0.29594375,0.20706249999999998,0.12301875,0.7212310697050419,0.13914154101259768,-0.670072347843965,0.4208209328020216,0.4511421685864467,0.5196324050755116,1.0
2018-07-31,0.039843750000000004,0.040412500000000004,0.05995,0.052825,0.09836249999999999,0.21576875,0.256425,0.25535,0.28264375,0.28185,0.21694375,0.13236875,0.6570503790275679,0.08119610563331897,-0.619689379703414,0.3758439723222103,0.39904043201464323,0.4438801912035049,1.0
2018-08-31,0.03526428571428571,0.038071428571428576,0.05280714285714285,0.04915714285714285,0.08804285714285713,0.19306428571428572,0.23043571428571427,0.23168571428571427,0.25507857142857143,0.2545,0.20890714285714287,0.12510714285714286,0.651271975827466,0.05166334703380339,-0.6296998835454255,0.3506908722597717,0.3675823946374779,0.45066431154637693,1.0
2018-09-30,0.0169,0.02345,0.034125,0.0290125,0.058475,0.1550125,0.18987500000000002,0.195475,0.207225,0.2073625,0.17236249999999997,0.0985375,0.7416699679461637,0.06406230803212089,-0.7029577100778313,0.34463329926700303,0.34862445481015936,0.5399399686680524,1.0
2018-10-31,0.013250000000000001,0.0221,0.03185,0.0297,0.058025,0.1283,0.153,0.1644,0.17125,0.1728,0.15344999999999998,0.0866,0.6939726285615313,0.03445044273507686,-0.6754193413279657,0.29109642094147514,0.2861488461867111,0.4782520107364434,1.0
2018-11-30,0.0177,0.026400000000000003,0.03681428571428571,0.04126428571428571,0.06765714285714285,0.11546428571428571,0.13399285714285716,0.1528857142857143,0.15784285714285715,0.1602142857142857,0.1653642857142857,0.10364285714285715,0.5734923123510723,-0.03919613424064091,-0.6097782242991613,0.24094595631344126,0.23165041690269644,0.3857193002298528,0.9957142857142857
2018-12-31,0.012783333333333334,0.021400000000000002,0.037033333333333335,0.055733333333333336,0.07733333333333332,0.10005000000000001,0.11523333333333334,0.13470000000000001,0.1419,0.14663333333333334,0.20020000000000002,0.13996666666666666,0.4177451514014224,-0.19649039976383495,-0.5781367188154488,0.171383264930948,0.15100014613549867,0.2724487239160675,1.0
2019-01-31,0.000825,0.0169,0.028325000000000003,0.047850000000000004,0.063125,0.083275,0.097025,0.11674999999999999,0.1194,0.12585,0.202675,0.14932499999999999,0.4185956444754425,-0.26899901566888235,-0.6095733606619687,0.1555074121802632,0.13487959577973962,0.2981281798998555,1.0
2019-02-28,0.009375,0.0245,0.036449999999999996,0.057925000000000004,0.075375,0.09525,0.1094,0.1305,0.1325,0.13037500000000002,0.235925,0.177125,0.3851667206815718,-0.28771238971592705,-0.5633420991663769,0.15813269054172305,0.14018613871556518,0.26775969937340305,1.0
2019-03-31,0.0395125,0.0468125,0.06080000000000001,0.076275,0.10189999999999999,0.1299875,0.1457,0.16235,0.168425,0.1726125,0.257425,0.1898,0.3602806798400485,-0.22700337897658887,-0.4564615173678975,0.1746584579940302,0.17007298626507109,0.22855440104097957,1.0
2019-04-30,0.027241666666666668,0.03329166666666667,0.05795,0.04331666666666667,0.0956,0.21456666666666666,0.24506666666666668,0.2596833333333333,0.26509166666666667,0.26685833333333336,0.19524166666666667,0.11275,0.7074260018111266,0.13767499399272076,-0.6299314995086528,0.4023642936415119,0.4251291456345771,0.45673288495146513,0.9813333333333333
2019-05-31,0.0453875,0.0497125,0.0685625,0.04994375,0.10036874999999999,0.2566625,0.307,0.3137375,0.329925,0.3296375,0.21045624999999998,0.11066875,0.7358971832526725,0.20171458314098464,-0.6499234621667206,0.45856500103471187,0.5320476313844908,0.5232950033345996,0.90175
2019-06-30,0.0320625,0.032125,0.05435,0.037275,0.08704999999999999,0.2309,0.277825,0.275025,0.3037625,0.30205,0.1776625,0.0879125,0.7612856829876191,0.215240222946051,-0.6699944822525903,0.43902794785938515,0.47255330845360977,0.519142338643866,1.0
2019-07-31,0.05159375,0.0500625,0.06680625,0.053006250000000005,0.0984625,0.22872499999999998,0.2766875,0.27802499999999997,0.30331874999999997,0.30195,0.2014,0.109,0.6943211208341097,0.1612245290131253,-0.6247024477015171,0.4080659019714473,0.4606145992812655,0.4850816090901091,0.984125
2019-08-31,0.0672625,0.06367500000000001,0.07685,0.06720000000000001,0.1087875,0.2144625,0.2554875,0.2529,0.2845625,0.2836625,0.213675,0.12079999999999999,0.6058274391666628,0.08649310920014891,-0.5576789700394255,0.3429590228620333,0.39386607476524615,0.4160089341446048,0.9455
2019-09-30,0.028315,0.03048,0.043769999999999996,0.035405,0.07128999999999999,0.170195,0.205795,0.21010999999999996,0.231315,0.229535,0.17626999999999998,0.09217,0.7122155168960287,0.08746132073664908,-0.6561854556705049,0.35145675953255684,0.36613518619995356,0.4935166694845653,1.0
2019-10-31,0.017390909090909092,0.02275454545454545,0.03635454545454545,0.03316818181818182,0.06630909090909091,0.14845,0.17813636363636365,0.2004090909090909,0.20609545454545453,0.2067363636363636,0.16265,0.08616363636363636,0.7158480197611742,0.10378598125466774,-0.6929790222622036,0.34182975889090556,0.34056791527600666,0.5025902767044419,0.9987272727272728
2019-11-30,0.013075,0.0228,0.03475,0.03485,0.0677,0.13242500000000001,0.156025,0.18165,0.182675,0.18245,0.15789999999999998,0.086925,0.678060190537512,0.06994558267133123,-0.6788403714233504,0.3073272913587614,0.30088778406098887,0.45698845505786834,1.0
2019-12-31,0.0032166666666666663,0.019141666666666668,0.03153333333333334,0.048475,0.06604166666666667,0.087325,0.10073333333333334,0.12006666666666665,0.123875,0.128475,0.20544166666666666,0.14569166666666666,0.42564725270833065,-0.262620694359129,-0.5856479634755102,0.16061138147781995,0.14119250619483267,0.2916681167666954,0.943
2020-01-31,0.0013375,0.014825,0.0279375,0.0462,0.062975,0.08399999999999999,0.0972375,0.11710000000000001,0.1200375,0.121675,0.2065875,0.14732499999999998,0.4342947721847068,-0.2765153717111322,-0.6151851331808905,0.16033053814942153,0.13819103734428512,0.30061950140032406,1.0
2020-02-29,0.0351625,0.041150000000000006,0.0519875,0.067575,0.087975,0.11069999999999999,0.12488749999999998,0.14300000000000002,0.14981250000000002,0.1512375,0.2388875,0.169475,0.35844378920351827,-0.25041369029407085,-0.4678236274421046,0.15904171060812988,0.15211493787296237,0.23827458859417808,0.99575
2020-03-31,0.032100000000000004,0.037375,0.053375,0.0632375,0.090825,0.123975,0.1392125,0.15687500000000001,0.1629125,0.1647,0.22976249999999998,0.156375,0.42345255374189417,-0.18946689075557455,-0.492051489122386,0.19469470876358325,0.18647050880845878,0.2659073285303681,1.0
2020-04-30,0.024316666666666667,0.028066666666666667,0.04886666666666667,0.02896666666666667,0.07616666666666667,0.22918333333333332,0.2752666666666667,0.28883333333333333,0.2942,0.2944333333333333,0.1568166666666667,0.07636666666666667,0.8147658144838051,0.2953310672453971,-0.7071146756605833,0.474771356413181,0.5172020467639457,0.5789625343030461,0.9993333333333334
2020-05-31,0.06249444444444444,0.059366666666666665,0.08058888888888889,0.06280000000000001,0.11345,0.27508333333333335,0.33013333333333333,0.33290000000000003,0.3515388888888889,0.35685555555555554,0.2111333333333333,0.12308333333333334,0.7421970076043289,0.23947222751876052,-0.6550939654312382,0.4651276622119506,0.5336377175011484,0.5336305199640212,0.9326666666666666
2020-06-30,0.03022142857142857,0.03105714285714286,0.05127857142857143,0.03232857142857143,0.08219285714285715,0.2440642857142857,0.2994928571428571,0.29897142857142855,0.3238785714285714,0.32005,0.18677142857142856,0.09129285714285715,0.8046761015626416,0.23085786371573064,-0.7071226559721101,0.48100958378674813,0.5292564382966961,0.5684884003424079,0.9897142857142857
2020-07-31,0.05160555555555556,0.05070555555555556,0.0680111111111111,0.05199444444444444,0.09766111111111112,0.2316888888888889,0.2806166666666667,0.2782222222222222,0.3053388888888889,0.3098722222222222,0.20151111111111109,0.1071,0.7002541183695288,0.16274434307455524,-0.6198162119553975,0.4114603076323208,0.46570107574985187,0.48908839479941435,0.9388888888888888
